Generation,Fitness,P1_Queen,P1_King,P1_Ace,P2_Queen,P2_King,P2_Ace
0,-4930.85727605728,0.854312440424547,1,1,0.571439267152619,0.864996965877007,1
1,-2808.77066294301,0.559818812403067,0.85227696516991,1,0.69847527478879,0.980137820435273,0.976705524914976
2,-761.056974851334,0.65467763267907,0.587389241289352,0.957822389170387,0.232805973360389,1,1
3,-3181.30391733395,0.65467763267907,0.587389241289352,0.957822389170387,0.232805973360389,1,1
4,-4156.57603517772,0.175410988195326,0.553156105828097,1,0.633758280315749,0.877282786611523,1
5,-4924.58247856062,0.553134361142549,0.298632994315757,0.699300051828109,0.0762466411582632,1,0.92918866670853
6,-1118.25177705441,0.293615148969405,0.277899862217743,0.940520074833028,0,0.987655981170649,1
7,-3539.47405173782,0.293615148969405,0.277899862217743,0.940520074833028,0,0.987655981170649,1
8,-3363.00443086325,0.293615148969405,0.277899862217743,0.940520074833028,0,0.987655981170649,1
9,-2713.56701030928,0.133289670102658,0.158812222367211,0.853363656869163,0.309271198942003,1,0.924594925370527
10,-2687.13245997089,0,0.330205028242455,0.91161657892122,0,0.959824954553501,1
11,-2906.61716304086,0,0.0225829551443934,1,0.172252154888397,0.654138308382979,0.834993298872409
12,-2317.20904564813,0,0.0225829551443934,1,0.172252154888397,0.654138308382979,0.834993298872409
13,-2105.45197195734,0.0894843220874827,0.0842669298539194,0.806542880570686,0.110394259847673,0.336020980224251,1
14,-1139.57888442244,0,0,1,0.0211584177447005,0.246777329049428,1
15,-1107.77675160294,0,0,1,0.0211584177447005,0.246777329049428,1
16,-1477.5342192691,0,0,1,0.0211584177447005,0.246777329049428,1
17,-2193.06212922511,0,0,0.660482779862098,0.05103894181812,0.0617300096221647,0.886352211373653
18,-2494.77184886069,0.365998268233698,0,0.848985171069544,0.0482959762516297,0.20897569549742,1
19,-2005.36205106913,0.0110166183259535,0,0.622276997908219,0.00236131030297242,0.0647359672608201,0.991064538079357
20,-1934.14117432198,0.0110166183259535,0,0.622276997908219,0.00236131030297242,0.0647359672608201,0.991064538079357
21,-2420.38096847799,0.315649289229331,0.0142114193661914,0.939296567242188,0,0.335574277692283,1
22,-2188.79741518578,0.288015504398603,0,1,0.0618342500567654,0.140282168563755,0.966873123748326
23,-2563.75279255319,0.364318210636209,0,1,0,0.326522358211798,1
24,-2488.05397103993,0.364318210636209,0,1,0,0.326522358211798,1
25,-2521.12824106517,0.364318210636209,0,1,0,0.326522358211798,1
26,-2456.88420590495,0.364318210636209,0,1,0,0.326522358211798,1
27,-2222.37865338818,0.189372408979163,0,0.915975686229013,0,0.163389602384294,1
28,-2527.59541420118,0.364318210636209,0,1,0,0.326522358211798,1
29,-2709.59071658479,0.0213322802459109,0,1,0,0.395005136454215,1
30,-2133.55102946069,0.117366552429252,0,1,0,0.0862646070558116,1
31,-2255.56016513946,0.363357054666356,0,1,0,0.332900602208165,1
32,-2476.73079238642,0.364318210636209,0,1,0,0.326522358211798,1
33,-2576.2132807138,0.363357054666356,0,1,0,0.332900602208165,1
34,-2608.66310547759,0.0967749635203145,0,1,0,0.475298629462128,1
35,-2527.90671378092,0.200794199291623,0,1,0,0.11342121049004,1
36,-1901.067774604,0.476786882271558,0,1,0,0.348379583693677,1
37,-2379.80885751765,0.0180555346906461,0,1,0,0.109414915767627,1
38,-2081.9149337599,0.0180555346906461,0,1,0,0.109414915767627,1
39,-2501.20808561237,0.261375937534502,0.0631556091850085,1,0,0.0805844758172368,1
40,-2356.61472864624,0.207941823492415,0,1,0,0.145064095585158,1
41,-2521.47821647379,0.346831606760617,0,1,0,0.256343853070233,1
42,-2117.25642807505,0.3812657088172,0,0.892176465181716,0,0.0160330297304853,1
43,-2441.02674236814,0.363357054666356,0,1,0,0.332900602208165,1
44,-2470.37531276063,0.151836620092271,0.00339277961562818,1,0,0,1
45,-2409.24035189109,0.363357054666356,0,1,0,0.332900602208165,1
46,-2550.81056257176,0.457694666583165,0,1,0,0.465060823036038,1
47,-2615.8307990047,0.204847196324884,0,1,0,0.447721889847265,1
48,-2521.86286556894,0.204847196324884,0,1,0,0.447721889847265,1
49,-2630.55079559364,0.487132939535938,0.00593852469348031,1,0,0.326803072984825,0.994003765317008
50,-2376.14060606061,0.370589056726578,0,0.941945012280092,0,0,1
51,-2576.07740774077,0.4186721337737,0,1,0,0.347897386586259,1
52,-2563.46619217082,0.426977939062053,0,0.993153929769254,0,0.298804256302035,1
53,-2566.94186046512,0.327862806336307,0,1,0,0.413716743129384,1
54,-2487.51926977688,0.0746594766385364,0,1,0,0.387356458384845,1
55,-2646.81305309735,0.327862806336307,0,1,0,0.413716743129384,1
56,-2635.99564066636,0.363357054666356,0,1,0,0.332900602208165,1
57,-2517.16202172886,0,0,1,0,0.48767245481223,1
58,-2572.71865626875,0.271302163732091,0,1,0,0.267567051317222,1
59,-2538.13665845442,0.363357054666356,0,1,0,0.332900602208165,1
60,-2628.14081826832,0.189164117027415,0,1,0,0.544510237252016,1
61,-2316.892272203,0.46400800755504,0,0.901167061638086,0,0.212988490693589,1
62,-2509.64208848147,0.261709255259558,0,1,0,0.454388409212373,1
63,-2502.10089020772,0.433667334822897,0,0.956157365246882,0,0.227589066227254,1
64,-2552.92992078001,0.363357054666356,0,1,0,0.332900602208165,1
65,-2381.80492610837,0.292814343260084,0,1,0,0.253930073725982,1
66,-2644.58207470381,0.310512715814972,0,1,0,0.293618098833435,1
67,-2522.87158243579,0.346831606760617,0,1,0,0.256343853070233,1
68,-2191.92067988669,0.285298387367521,0,1,0,0.224857516220627,1
69,-2172.22533644756,0.266900264783939,0,1,0,0.254401877341742,1
70,-2353.55274261603,0.389686338028314,0,1,0,0.620202438534257,1
71,-2528.26066452304,0.363357054666356,0,1,0,0.332900602208165,1
72,-2395.82222222222,0.403529369529973,0,1,0,0.632124246079893,1
73,-2639.37088678193,0.556289752534189,0,1,0,0.126961226315374,0.987590616082579
74,-2433.54330708661,0.556289752534189,0,1,0,0.126961226315374,0.987590616082579
75,-2448.36421119191,0.11213239002348,0,1,0,0.295552410031956,1
76,-2490.36516937035,0.310512715814972,0,1,0,0.293618098833435,1
77,-2455.90199458262,0.362061457195932,0,1,0,0.19597606645001,1
78,-2479.55294117647,0.45653441541953,0,1,0,0.181643850106887,1
79,-2445.16563728243,0.266900264783939,0,1,0,0.254401877341742,1
80,-2496.11844331641,0.372379424447468,0.0162792100197352,1,0,0.362873085500569,1
81,-2183.25693160813,0.261322063914139,0,1,0.00626064561635505,0.29591435715802,1
82,-2397.44796954315,0.269662896368079,0,1,0.0104768548406118,0.0202011177980585,1
83,-2555.68279728533,0.285298387367521,0,1,0,0.224857516220627,1
84,-2057.58988941548,0.395370556572852,0,1,0,0.335868342532097,0.982169232610824
85,-2524.37889336753,0.363357054666356,0,1,0,0.332900602208165,1
86,-2521.25209150811,0.0655943394830938,0,1,0.0104029711695936,0.110921383414053,1
87,-2486.50630860053,0.23021358840912,0,1,0,0.146569448105328,1
88,-2257.64699702329,0.35949434982496,0,1,0,0,1
89,-2691.59420289855,0.0338072680890497,0,0.997726433454243,0.0147002306743069,0.504983494648408,1
90,-2414.17171956419,0.250223989544811,0,1,0,0.208724576350138,1
91,-2443.02824858757,0.279052256495977,0,1,0,0.295557851702153,0.968109700240745
92,-2362.66860623693,0.267170867726669,0,1,0,0.205098465598214,1
93,-2017.46799144762,0.140629121370086,0,0.797895266200076,0,0,0.859951887511594
94,-2675.93931731985,0.441385771302055,0,1,0,0.447559297496304,1
95,-2088.71626733922,0.0829931318027803,0,1,0,0.137268695611288,1
96,-2339.93606671299,0.269662896368079,0,1,0.0104768548406118,0.0202011177980585,1
97,-2242.42245783662,0.269662896368079,0,1,0.0104768548406118,0.0202011177980585,1
98,-2371.45716267777,0.219769580919469,0,0.97711941259907,0,0,1
99,-2688.00985663082,0.178205123666357,0,1,0,0.432466667655691,1
100,-2640.97971918877,0.395370556572852,0,1,0,0.335868342532097,0.982169232610824
101,-2355.77749029754,0.281993618645281,0,1,0,0,1
102,-2539.55887230514,0.269662896368079,0,1,0.0104768548406118,0.0202011177980585,1
103,-2439.46781585608,0.285298387367521,0,1,0,0.224857516220627,1
104,-2397.65540403012,0.150045480168056,0,1,0,0,1
105,-2426.74357015534,0.350873352561616,0,1,0,0.339081268420158,1
106,-2508.79796076693,0.0205300573966064,0,1,0,0.0720269185468493,1
107,-2362.09415384615,0.307998905019265,0,1,0,0.242498684194421,1
108,-2605.89450867052,0.31678165768282,0,1,0,0.43785663908183,1
109,-2627.47266435986,0.371213635829095,0,1,0,0.280772487474068,1
110,-2588.7485380117,0.307998905019265,0,1,0,0.242498684194421,1
111,-2600.87063655031,0.232524271849384,0,1,0,0.142652739522209,1
112,-2410.88261791203,0.259840845644715,0.0138015046053189,1,0,0.0459903489216527,1
113,-2256.30758439281,0.232524271849384,0,1,0,0.142652739522209,1
114,-2310.42724458204,0.307998905019265,0,1,0,0.242498684194421,1
115,-2486.54982898927,0.347829519323349,0,1,0,0.227634769758254,1
116,-2172.93995952327,0.259840845644715,0.0138015046053189,1,0,0.0459903489216527,1
117,-2469.22506570757,0.17740448084178,0,1,0,0.249663053050303,1
118,-2374.20096877254,0.259628639319327,0,0.989805663990526,0,0.0961589065572437,1
119,-2648.28846153846,0.425136595191229,0,0.974513866586476,0.0103880430587375,0.313156936115141,1
