Generation,Fitness,P1_Queen,P1_King,P1_Ace,P2_Queen,P2_King,P2_Ace
0,0,0.663432006788179,1,0.911895001806893,0.793385826457107,1,1
1,0,0.663432006788179,1,0.911895001806893,0.793385826457107,1,1
2,0,0.45947289884724,0.822843857358272,0.839718490877773,0.542458402296773,1,1
3,0,0.228004839769111,0.663740898649256,0.840799202463889,0.42193947807695,1,1
4,0,0.14678699553991,0.554942389741721,0.865182304790795,0.304265291311415,1,0.938283162951128
5,0,0.14678699553991,0.554942389741721,0.865182304790795,0.304265291311415,1,0.938283162951128
6,0,0.14678699553991,0.554942389741721,0.865182304790795,0.304265291311415,1,0.938283162951128
7,-9.48024201129893E-07,0,0.855938421988157,0.674787431367694,0,0.933723398171212,1
8,-5.59699649537401E-06,0,0.896115540054271,0.85307914540313,0,0.848924826602802,1
9,-2.6469789537911E-06,0.534741034791236,0.0147648068879,1,0,0.694211788939005,0.84611147067588
10,-2.15542988474775E-06,0.331391485490371,0.0586511023215991,0.858204407874817,0,0.823744966289499,0.969371114478433
11,-5.72869253920638E-08,0.213296836862946,0,1,0,0.661646305642549,0.824621470783047
12,0,0.00254970945178368,0.0846854166655088,1,0,0.960219900106789,1
13,0,0.0361901696043007,0,0.849599805962499,0,0.631879286391236,0.99322195034508
14,-1.16032035414216E-06,0.0361901696043007,0,0.849599805962499,0,0.631879286391236,0.99322195034508
15,-1.40132565689427E-06,0.0738914005148423,0.0811383483610319,0.963848595075227,0.0351635008753385,0.484777096640394,1
16,-8.35000876393711E-07,0.211287218147268,0,0.976532329129695,0.030635055780451,0.357612581958317,1
17,-4.44048393071312E-06,0.192253041409001,0.00439654866173906,0.925953804432846,0,0.0857358594763885,1
18,-9.45574628012204E-06,0.211287218147268,0,0.976532329129695,0.030635055780451,0.357612581958317,1
19,-1.62984236471238E-05,0.211287218147268,0,0.976532329129695,0.030635055780451,0.357612581958317,1
20,-2.52084357264033E-05,0.192253041409001,0.00439654866173906,0.925953804432846,0,0.0857358594763885,1
21,-1.44159402598824E-05,0.192253041409001,0.00439654866173906,0.925953804432846,0,0.0857358594763885,1
22,-4.7565821320329E-06,0.296911987373458,0,1,0,0.35353272689607,0.948284461980178
23,-8.13846116284656E-06,0.296911987373458,0,1,0,0.35353272689607,0.948284461980178
24,-2.50899833566503E-06,0.296911987373458,0,1,0,0.35353272689607,0.948284461980178
25,-6.14204342646453E-06,0.37878742202951,0.0457733374430398,1,0,0.349874984643467,1
26,-8.51389045611142E-06,0.410411094143317,0,1,0,0.462543283577549,1
27,-7.12369860640786E-06,0.454332195256815,0,1,0,0.376205752295159,1
28,-1.16728958992636E-06,0.253167973289545,0,0.941937394962227,0,0.297093496313656,1
29,-1.36431986985205E-07,0.301346486094148,0.00606975069713729,1,0,0.334771554178112,1
30,-9.13520462205923E-07,0.385821050411902,0,1,0,0.242896783197589,1
31,-2.50594780461354E-07,0.301346486094148,0.00606975069713729,1,0,0.334771554178112,1
32,-8.24349653491173E-07,0.301346486094148,0.00606975069713729,1,0,0.334771554178112,1
33,-1.5724420640878E-07,0.325771350545972,0,1,0,0.311164986642462,1
34,-1.23343873789332E-07,0.325771350545972,0,1,0,0.311164986642462,1
35,-4.23781244731402E-08,0.325771350545972,0,1,0,0.311164986642462,1
36,-1.5697049497727E-08,0.325750289849257,0,1,0,0.31790799701532,1
37,-1.82986436426523E-08,0.325750289849257,0,1,0,0.31790799701532,1
38,-8.88811966359106E-09,0.325750289849257,0,1,0,0.31790799701532,1
39,-3.6731216276424E-08,0.325750289849257,0,1,0,0.31790799701532,1
40,-1.27781265931535E-08,0.325750289849257,0,1,0,0.31790799701532,1
41,-1.08121480425484E-08,0.325750289849257,0,1,0,0.31790799701532,1
42,-1.62410799421388E-08,0.325771350545972,0,1,0,0.311164986642462,1
43,-8.69856552978638E-09,0.325750289849257,0,1,0,0.31790799701532,1
44,-3.05006046782769E-09,0.325750289849257,0,1,0,0.31790799701532,1
45,-1.73753094090589E-08,0.325750289849257,0,1,0,0.31790799701532,1
46,-7.88695721870457E-09,0.325750289849257,0,1,0,0.31790799701532,1
47,-1.06815486688677E-08,0.325750289849257,0,1,0,0.31790799701532,1
48,-2.71473591761156E-08,0.325750289849257,0,1,0,0.31790799701532,1
49,-2.91101142882113E-07,0.325750289849257,0,1,0,0.31790799701532,1
50,-1.25591099026064E-08,0.325771350545972,0,1,0,0.311164986642462,1
